UniqueID,ObservationID,Site,PugetSoundRegion,OnOff,Habitat,ReferenceType,reference_treatment,CenterEdge,EdgeOtherSide,HabitatDet,HabitatDetReg,RefTreSiteNo,SD_card_number,video_segment_number,VideoDate,ObservationDate,Media_file,visibility,eelgrass_algae_bare,eelgrass_obstructing_view,time_of_high_tide,Total_media_length,FPS,Subject,vertical_distribution,trophic_level,TL,morphology,prey_phyla,reproductive_mode_functional_group,feeding_mode,count,Behavior,Modifiers,Behavior_type,Start,Stop,Comment_start,Comment_stop,NewFG,NewFG2,Year,Month,NewFG3,VideoDate_M,VideoDate_D,VideoDate_Y,Date_eel,Month_eel,Day_eel,Year_eel,Region_eel,Location_eel,HabitatType_eel,ReferenceFor_eel,J_NumSquaresShoots_eel,J_NumShootsDiagonal_eel,J_MaxBladeLength_cm_eel,J_SheathLength_cm_eel,J_MaxSheathWidth_eel,J_DryEpiphyteMass__eel,J_DryAboveGroundEelgrassBiomass__eel,M_NumSquaresShoots_eel,M_NumShootsDiagonal_eel,M_NMaxBladeLength_cm_eel,M_NSheathLength_cm_eel,M_NMaxSheathWidth_eel,M_NDryEpiphyteMass__eel,M_NDryAboveGroundEelgrassBiomass__eel,O_NumSquaresShoots_eel,O_NumShootsDiagonal_eel,O_MaxBladeLength_cm_eel,O_SheathLength_cm_eel,O_MaxSheathWidth_eel,O_DryEpiphyteMass__eel,O_DryAboveGroundEelgrassBiomass__eel
11,SD18 479 3_24_2018,Taylor at Dosewallips,Hood Canal,on bottom,Clam,NA,T,Center,NA,Clam,,,18,479,3_24_2018,43228.49097,E:/VideoBackup/VideoMarch2018/SD18_23March2018_HoodDosewallipsTaylor/100GOPRO/GOPR0479.MP4,high,b,no,0.452777778,120.85,59.94,unknown crab,benthic,NA,NA,cancroid,NA,NA,ZB or OP,1,o,NA,POINT,16.368,0,NA,NA,Crabs,Crabs,2018,3,,3,24,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,SD26 279 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,NA,Flipbag,Flipbag_S,9,SD26,279,7_24_2017,43053.59861,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD26/GOPR0279.MP9,low,a,no,0.835416667,120.85,59.94,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,o,,POINT,4.55,0,,light filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,24,2017,42940,7,24,2017,South,Chelsea-Eld,Flipbag,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0
13,SD18 479 3_24_2018,Taylor at Dosewallips,Hood Canal,on bottom,Clam,NA,T,Center,NA,Clam,,,18,479,3_24_2018,43228.49097,E:/VideoBackup/VideoMarch2018/SD18_23March2018_HoodDosewallipsTaylor/100GOPRO/GOPR0479.MP4,high,b,no,0.452777778,120.85,59.94,unknown crab,benthic,NA,NA,cancroid,NA,NA,ZB or OP,1,o,NA,POINT,15.448,0,NA,NA,Crabs,Crabs,2018,3,,3,24,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,SD26 279 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,NA,Flipbag,Flipbag_S,9,SD26,279,7_24_2017,43053.59861,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD26/GOPR0279.MP10,low,a,no,0.835416667,120.85,59.94,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,o,,POINT,5.322,0,,light filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,24,2017,42940,7,24,2017,South,Chelsea-Eld,Flipbag,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0
15,SD18 481 3_24_2018,Taylor at Dosewallips,Hood Canal,on bottom,Clam,NA,T,Center,NA,Clam,,,18,481,3_24_2018,43228.49792,E:/VideoBackup/VideoMarch2018/SD18_23March2018_HoodDosewallipsTaylor/100GOPRO/GOPR0481.MP4,high,b,no,0.452777778,120.9,59.94,unknown crab,benthic,NA,NA,cancroid,NA,NA,ZB or OP,1,o,NA,POINT,11.078,0,NA,NA,Crabs,Crabs,2018,3,,3,24,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,SD26 279 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,NA,Flipbag,Flipbag_S,9,SD26,279,7_24_2017,43053.59861,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD26/GOPR0279.MP11,low,a,no,0.835416667,120.85,59.94,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,o,,POINT,5.573,0,,light filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,24,2017,42940,7,24,2017,South,Chelsea-Eld,Flipbag,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0
17,SD35 276 3_24_2018,Taylor at Dosewallips,Hood Canal,NA,Clam,sediment,R,Center,NA,sediment,,,35,276,3_24_2018,43228.50972,E:/VideoBackup/VideoMarch2018/SD35_23March2018_HoodDosewallipsTaylor/100GOPRO/GOPR0276.MP4,high,b,no,0.452777778,120.85,59.94,unknown crab,benthic,NA,NA,cancroid,NA,NA,ZB or OP,1,o,NA,POINT,105.53,0,NA,NA,Crabs,Crabs,2018,3,,3,24,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,SD40 370 3_28_2018,Chelsea,South Sound,NA,Clam/Flipbag,sediment,R,Center,NA,sediment,,,40,370,3_28_2018,43228.62083,E:/VideoMarch2018/27March2018_ChelseaEld/SD40_27March2018_ChelseaEld/100GOPRO/GOPR0370.MP4,high,b,no,0.452777778,119.94,59.94,cancer crab,benthic,3,3,cancroid,2 to 4,O,ZB or OP,1,f,NA,POINT,110.511,0,NA,NA,Crabs,Crabs,2018,3,,3,28,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,SD26 279 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,NA,Flipbag,Flipbag_S,9,SD26,279,7_24_2017,43053.59861,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD26/GOPR0279.MP12,low,a,no,0.835416667,120.85,59.94,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,o,,POINT,6.086,0,,light filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,24,2017,42940,7,24,2017,South,Chelsea-Eld,Flipbag,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0
20,SD40 369 3_28_2018,Chelsea,South Sound,NA,Clam/Flipbag,sediment,R,Center,NA,sediment,,,40,369,3_28_2018,43228.61944,E:/VideoMarch2018/27March2018_ChelseaEld/SD40_27March2018_ChelseaEld/100GOPRO/GOPR0369.MP4,high,b,no,0.452777778,119.92,59.94,cancer crab,benthic,3,3,cancroid,2 to 4,O,ZB or OP,1,f,NA,POINT,90.245,0,NA,NA,Crabs,Crabs,2018,3,,3,28,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,SD26 279 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,NA,Flipbag,Flipbag_S,9,SD26,279,7_24_2017,43053.59931,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD26/GOPR0279.MP13,low,a,no,0.835416667,120.85,59.94,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,o,,POINT,7.366,0,,light filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,24,2017,42940,7,24,2017,South,Chelsea-Eld,Flipbag,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0
22,SD26 279 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,NA,Flipbag,Flipbag_S,9,SD26,279,7_24_2017,43053.59932,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD26/GOPR0279.MP14,low,a,no,0.835416667,120.85,59.94,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,o,,POINT,7.876,0,,light filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,24,2017,42940,7,24,2017,South,Chelsea-Eld,Flipbag,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0
23,SD40 368 3_28_2018,Chelsea,South Sound,NA,Clam/Flipbag,sediment,R,Center,NA,sediment,,,40,368,3_28_2018,43228.61806,E:/VideoMarch2018/27March2018_ChelseaEld/SD40_27March2018_ChelseaEld/100GOPRO/GOPR0368.MP4,high,b,no,0.452777778,119.94,59.94,cancer crab,benthic,3,3,cancroid,2 to 4,O,ZB or OP,1,o,NA,POINT,14.533,0,NA,NA,Crabs,Crabs,2018,3,,3,28,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,SD24 152 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,NA,Clam,Clam_H,6,SD24,152,7_12_2017,43048.62361,F:/VideoBackup/video files for analysis/deployed 7_10_2017/SD24/GOPR0152.MP4,high,b,no,0.284027778,119.94,59.94,unknown non flatfish,pelagic/free swimming,,NA,NA,NA,NA,NA,1,f,,POINT,57.798,0,,,PelFusZP,UNK,2017,7,,7,12,2017,42928,7,12,2017,Hood Canal,Dosewallips,Clams,NA,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0
25,SD40 367 3_28_2018,Chelsea,South Sound,NA,Clam/Flipbag,sediment,R,Center,NA,sediment,,,40,367,3_28_2018,43228.61736,E:/VideoMarch2018/27March2018_ChelseaEld/SD40_27March2018_ChelseaEld/100GOPRO/GOPR0367.MP4,high,b,no,0.452777778,119.94,59.94,cancer crab,benthic,3,3,cancroid,2 to 4,O,ZB or OP,1,o,NA,POINT,78.646,0,NA,NA,Crabs,Crabs,2018,3,,3,28,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,SD24 152 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,NA,Clam,Clam_H,6,SD24,152,7_12_2017,43048.62361,F:/VideoBackup/video files for analysis/deployed 7_10_2017/SD24/GOPR0152.MP5,high,b,no,0.284027778,119.94,59.94,unknown non flatfish,pelagic/free swimming,,NA,NA,NA,NA,NA,1,f,,POINT,92.102,0,,,PelFusZP,UNK,2017,7,,7,12,2017,42928,7,12,2017,Hood Canal,Dosewallips,Clams,NA,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0
27,SD40 365 3_28_2018,Chelsea,South Sound,NA,Clam/Flipbag,sediment,R,Center,NA,sediment,,,40,365,3_28_2018,43228.61597,E:/VideoMarch2018/27March2018_ChelseaEld/SD40_27March2018_ChelseaEld/100GOPRO/GOPR0365.MP4,high,b,no,0.452777778,119.94,59.94,cancer crab,benthic,3,3,cancroid,2 to 4,O,ZB or OP,1,f,NA,POINT,30.363,0,NA,NA,Crabs,Crabs,2018,3,,3,28,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,SD24 152 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,NA,Clam,Clam_H,6,SD24,152,7_12_2017,43048.62361,F:/VideoBackup/video files for analysis/deployed 7_10_2017/SD24/GOPR0152.MP6,high,b,no,0.284027778,119.94,59.94,unknown non flatfish,pelagic/free swimming,,NA,NA,NA,NA,NA,1,f,,POINT,111.537,0,,,PelFusZP,UNK,2017,7,,7,12,2017,42928,7,12,2017,Hood Canal,Dosewallips,Clams,NA,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0
29,SD40 362 3_28_2018,Chelsea,South Sound,NA,Clam/Flipbag,sediment,R,Center,NA,sediment,,,40,362,3_28_2018,43228.61042,E:/VideoMarch2018/27March2018_ChelseaEld/SD40_27March2018_ChelseaEld/100GOPRO/GOPR0362.MP4,high,b,no,0.452777778,119.94,59.94,cancer crab,benthic,3,3,cancroid,2 to 4,O,ZB or OP,1,f,NA,POINT,64.516,0,NA,NA,Crabs,Crabs,2018,3,,3,28,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,SD24 152 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,NA,Clam,Clam_H,6,SD24,152,7_12_2017,43048.62361,F:/VideoBackup/video files for analysis/deployed 7_10_2017/SD24/GOPR0152.MP7,high,b,no,0.284027778,119.94,59.94,unknown non flatfish,pelagic/free swimming,,NA,NA,NA,NA,NA,1,f,,POINT,113.073,0,,,PelFusZP,UNK,2017,7,,7,12,2017,42928,7,12,2017,Hood Canal,Dosewallips,Clams,NA,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0
31,SD40 361 3_28_2018,Chelsea,South Sound,NA,Clam/Flipbag,sediment,R,Center,NA,sediment,,,40,361,3_28_2018,43228.60833,E:/VideoMarch2018/27March2018_ChelseaEld/SD40_27March2018_ChelseaEld/100GOPRO/GOPR0361.MP4,high,b,no,0.452777778,119.94,59.94,cancer crab,benthic,3,3,cancroid,2 to 4,O,ZB or OP,1,o,NA,POINT,96.006,0,NA,NA,Crabs,Crabs,2018,3,,3,28,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,SD24 152 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,NA,Clam,Clam_H,6,SD24,152,7_12_2017,43048.62361,F:/VideoBackup/video files for analysis/deployed 7_10_2017/SD24/GOPR0152.MP8,high,b,no,0.284027778,119.94,59.94,unknown non flatfish,pelagic/free swimming,,NA,NA,NA,NA,NA,1,f,,POINT,116.145,0,,,PelFusZP,UNK,2017,7,,7,12,2017,42928,7,12,2017,Hood Canal,Dosewallips,Clams,NA,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0
33,SD40 368 3_28_2018,Chelsea,South Sound,NA,Clam/Flipbag,sediment,R,Center,NA,sediment,,,40,368,3_28_2018,43228.61806,E:/VideoMarch2018/27March2018_ChelseaEld/SD40_27March2018_ChelseaEld/100GOPRO/GOPR0368.MP4,high,b,no,0.452777778,119.94,59.94,dungeness crab,benthic,3,3,cancroid,4,O,OP,1,o,NA,POINT,8.288,0,NA,NA,Crabs,Crabs,2018,3,,3,28,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,SD24 152 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,NA,Clam,Clam_H,6,SD24,152,7_12_2017,43048.62361,F:/VideoBackup/video files for analysis/deployed 7_10_2017/SD24/GOPR0152.MP9,high,b,no,0.284027778,119.94,59.94,unknown non flatfish,pelagic/free swimming,,NA,NA,NA,NA,NA,1,o,,POINT,4.721,0,,,PelFusZP,UNK,2017,7,,7,12,2017,42928,7,12,2017,Hood Canal,Dosewallips,Clams,NA,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0
35,SD40 368 3_28_2018,Chelsea,South Sound,NA,Clam/Flipbag,sediment,R,Center,NA,sediment,,,40,368,3_28_2018,43228.61806,E:/VideoMarch2018/27March2018_ChelseaEld/SD40_27March2018_ChelseaEld/100GOPRO/GOPR0368.MP4,high,b,no,0.452777778,119.94,59.94,dungeness crab,benthic,3,3,cancroid,4,O,OP,1,o,NA,POINT,120.036,0,NA,NA,Crabs,Crabs,2018,3,,3,28,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,SD24 152 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,NA,Clam,Clam_H,6,SD24,152,7_12_2017,43048.62361,F:/VideoBackup/video files for analysis/deployed 7_10_2017/SD24/GOPR0152.MP10,high,b,no,0.284027778,119.94,59.94,unknown non flatfish,pelagic/free swimming,,NA,NA,NA,NA,NA,1,o,,POINT,4.976,0,,,PelFusZP,UNK,2017,7,,7,12,2017,42928,7,12,2017,Hood Canal,Dosewallips,Clams,NA,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0
37,SD34 515 3_28_2018,Chelsea,South Sound,off bottom,Flipbag,NA,T,Center,NA,Flipbag,,,34,515,3_28_2018,43228.60347,E:/VideoMarch2018/27March2018_ChelseaEld/SD34_27March2018_ChelseaEld/100GOPRO/GOPR0515.MP4,high,b,no,0.452777778,120.85,59.94,jelly fish,pelagic/free swimming,3,3,cnidarians,2,O,ZP,1,o,NA,POINT,102.661,0,NA,NA,SmZoo,JF,2018,3,,3,28,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,SD24 152 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,NA,Clam,Clam_H,6,SD24,152,7_12_2017,43048.62361,F:/VideoBackup/video files for analysis/deployed 7_10_2017/SD24/GOPR0152.MP11,high,b,no,0.284027778,119.94,59.94,unknown non flatfish,pelagic/free swimming,,NA,NA,NA,NA,NA,1,o,,POINT,17.268,0,,,PelFusZP,UNK,2017,7,,7,12,2017,42928,7,12,2017,Hood Canal,Dosewallips,Clams,NA,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0
39,SD34 513 3_28_2018,Chelsea,South Sound,off bottom,Flipbag,NA,T,Center,NA,Flipbag,,,34,513,3_28_2018,43228.59861,E:/VideoMarch2018/27March2018_ChelseaEld/SD34_27March2018_ChelseaEld/100GOPRO/GOPR0513.MP4,high,b,no,0.452777778,120.9,59.94,jelly fish,pelagic/free swimming,3,3,cnidarians,2,O,ZP,1,o,NA,POINT,26.276,0,NA,NA,SmZoo,JF,2018,3,,3,28,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,SD40 371 3_28_2018,Chelsea,South Sound,NA,Clam/Flipbag,sediment,R,Center,NA,sediment,,,40,371,3_28_2018,43228.62222,E:/VideoMarch2018/27March2018_ChelseaEld/SD40_27March2018_ChelseaEld/100GOPRO/GOPR0371.MP4,high,b,no,0.452777778,119.94,59.94,sculpin,demersal,3.7 ± 0.64,3.7,cottoid-like,3,O,ZB,1,f,NA,POINT,25.621,0,NA,NA,DemOpp,SmDemZB,2018,3,,3,28,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,SD24 152 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,NA,Clam,Clam_H,6,SD24,152,7_12_2017,43048.62361,F:/VideoBackup/video files for analysis/deployed 7_10_2017/SD24/GOPR0152.MP12,high,b,no,0.284027778,119.94,59.94,unknown non flatfish,pelagic/free swimming,,NA,NA,NA,NA,NA,1,o,,POINT,41.124,0,,,PelFusZP,UNK,2017,7,,7,12,2017,42928,7,12,2017,Hood Canal,Dosewallips,Clams,NA,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0
