UniqueID,ObservationID,Site,PugetSoundRegion,OnOff,Habitat,ReferenceType,reference_treatment,CenterEdge,habitat_type,SD_card_number,video_segment_number,VideoDate,visibility,eelgrass_algae_bare,eelgrass_obstructing_view,time_of_high_tide,Subject,vertical_distribution,trophic_level,TL,morphology,prey_phyla,reproductive_mode_functional_group,feeding_mode,count,feeding_behavior,Comment_start,Comment_stop,NewFG,Year,Month,J_NumSquaresShoots_eel,J_NumShootsDiagonal_eel,J_MaxBladeLength_cm_eel,J_SheathLength_cm_eel,J_MaxSheathWidth_eel,J_DryEpiphyteMass__eel,J_DryAboveGroundEelgrassBiomass__eel,M_NumSquaresShoots_eel,M_NumShootsDiagonal_eel,M_NMaxBladeLength_cm_eel,M_NSheathLength_cm_eel,M_NMaxSheathWidth_eel,M_NDryEpiphyteMass__eel,M_NDryAboveGroundEelgrassBiomass__eel,O_NumSquaresShoots_eel,structure,Aq
48,SD23 175 7_11_2017,Dosewallips,Hood Canal,eelgrass,Clam,eelgrass,R,Center,eelgrass,SD23,175,7_11_2017,medium,eelgrass,no,0.254166667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,1,medium filamentous algae cover,NA,PelFusZP,2017,7,10.6,1.76,10.63,3.27,0.21,0,0.02,13.5,2.3,14.75,4.82,0.38,0,0.07,8.6,HStr,AqNo
50,SD23 175 7_11_2017,Dosewallips,Hood Canal,eelgrass,Clam,eelgrass,R,Center,eelgrass,SD23,175,7_11_2017,medium,eelgrass,no,0.254166667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,1,medium filamentous algae cover,NA,PelFusZP,2017,7,10.6,1.76,10.63,3.27,0.21,0,0.02,13.5,2.3,14.75,4.82,0.38,0,0.07,8.6,HStr,AqNo
52,SD23 175 7_11_2017,Dosewallips,Hood Canal,eelgrass,Clam,eelgrass,R,Center,eelgrass,SD23,175,7_11_2017,medium,eelgrass,no,0.254166667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,1,medium filamentous algae cover,NA,PelFusZP,2017,7,10.6,1.76,10.63,3.27,0.21,0,0.02,13.5,2.3,14.75,4.82,0.38,0,0.07,8.6,HStr,AqNo
54,SD23 175 7_11_2017,Dosewallips,Hood Canal,eelgrass,Clam,eelgrass,R,Center,eelgrass,SD23,175,7_11_2017,medium,eelgrass,no,0.254166667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,1,medium filamentous algae cover,NA,PelFusZP,2017,7,10.6,1.76,10.63,3.27,0.21,0,0.02,13.5,2.3,14.75,4.82,0.38,0,0.07,8.6,HStr,AqNo
56,SD23 175 7_11_2017,Dosewallips,Hood Canal,eelgrass,Clam,eelgrass,R,Center,eelgrass,SD23,175,7_11_2017,medium,eelgrass,no,0.254166667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,1,medium filamentous algae cover,NA,PelFusZP,2017,7,10.6,1.76,10.63,3.27,0.21,0,0.02,13.5,2.3,14.75,4.82,0.38,0,0.07,8.6,HStr,AqNo
58,SD23 175 7_11_2017,Dosewallips,Hood Canal,eelgrass,Clam,eelgrass,R,Center,eelgrass,SD23,175,7_11_2017,medium,eelgrass,no,0.254166667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,1,medium filamentous algae cover,NA,PelFusZP,2017,7,10.6,1.76,10.63,3.27,0.21,0,0.02,13.5,2.3,14.75,4.82,0.38,0,0.07,8.6,HStr,AqNo
60,SD23 175 7_11_2017,Dosewallips,Hood Canal,eelgrass,Clam,eelgrass,R,Center,eelgrass,SD23,175,7_11_2017,medium,eelgrass,no,0.254166667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,1,medium filamentous algae cover,NA,PelFusZP,2017,7,10.6,1.76,10.63,3.27,0.21,0,0.02,13.5,2.3,14.75,4.82,0.38,0,0.07,8.6,HStr,AqNo
62,SD23 175 7_11_2017,Dosewallips,Hood Canal,eelgrass,Clam,eelgrass,R,Center,eelgrass,SD23,175,7_11_2017,medium,eelgrass,no,0.254166667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,1,medium filamentous algae cover,NA,PelFusZP,2017,7,10.6,1.76,10.63,3.27,0.21,0,0.02,13.5,2.3,14.75,4.82,0.38,0,0.07,8.6,HStr,AqNo
64,SD23 175 7_11_2017,Dosewallips,Hood Canal,eelgrass,Clam,eelgrass,R,Center,eelgrass,SD23,175,7_11_2017,medium,eelgrass,no,0.254166667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,0,medium filamentous algae cover,NA,PelFusZP,2017,7,10.6,1.76,10.63,3.27,0.21,0,0.02,13.5,2.3,14.75,4.82,0.38,0,0.07,8.6,HStr,AqNo
67,SD23 175 7_11_2017,Dosewallips,Hood Canal,eelgrass,Clam,eelgrass,R,Center,eelgrass,SD23,175,7_11_2017,medium,eelgrass,no,0.254166667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,0,medium filamentous algae cover,NA,PelFusZP,2017,7,10.6,1.76,10.63,3.27,0.21,0,0.02,13.5,2.3,14.75,4.82,0.38,0,0.07,8.6,HStr,AqNo
68,SD23 175 7_11_2017,Dosewallips,Hood Canal,eelgrass,Clam,eelgrass,R,Center,eelgrass,SD23,175,7_11_2017,medium,eelgrass,no,0.254166667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,0,medium filamentous algae cover,NA,PelFusZP,2017,7,10.6,1.76,10.63,3.27,0.21,0,0.02,13.5,2.3,14.75,4.82,0.38,0,0.07,8.6,HStr,AqNo
70,SD23 175 7_11_2017,Dosewallips,Hood Canal,eelgrass,Clam,eelgrass,R,Center,eelgrass,SD23,175,7_11_2017,medium,eelgrass,no,0.254166667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,0,medium filamentous algae cover,NA,PelFusZP,2017,7,10.6,1.76,10.63,3.27,0.21,0,0.02,13.5,2.3,14.75,4.82,0.38,0,0.07,8.6,HStr,AqNo
72,SD23 175 7_11_2017,Dosewallips,Hood Canal,eelgrass,Clam,eelgrass,R,Center,eelgrass,SD23,175,7_11_2017,medium,eelgrass,no,0.254166667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,0,medium filamentous algae cover,NA,PelFusZP,2017,7,10.6,1.76,10.63,3.27,0.21,0,0.02,13.5,2.3,14.75,4.82,0.38,0,0.07,8.6,HStr,AqNo
74,SD23 175 7_11_2017,Dosewallips,Hood Canal,eelgrass,Clam,eelgrass,R,Center,eelgrass,SD23,175,7_11_2017,medium,eelgrass,no,0.254166667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,0,medium filamentous algae cover,NA,PelFusZP,2017,7,10.6,1.76,10.63,3.27,0.21,0,0.02,13.5,2.3,14.75,4.82,0.38,0,0.07,8.6,HStr,AqNo
76,SD23 175 7_11_2017,Dosewallips,Hood Canal,eelgrass,Clam,eelgrass,R,Center,eelgrass,SD23,175,7_11_2017,medium,eelgrass,no,0.254166667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,0,medium filamentous algae cover,NA,PelFusZP,2017,7,10.6,1.76,10.63,3.27,0.21,0,0.02,13.5,2.3,14.75,4.82,0.38,0,0.07,8.6,HStr,AqNo
78,SD23 177 7_12_2017,Dosewallips,Hood Canal,eelgrass,Clam,eelgrass,R,Center,eelgrass,SD23,177,7_12_2017,medium,eelgrass,no,0.284027778,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,1,NA,NA,PelFusZP,2017,7,10.6,1.76,10.63,3.27,0.21,0,0.02,13.5,2.3,14.75,4.82,0.38,0,0.07,8.6,HStr,AqNo
80,SD23 177 7_12_2017,Dosewallips,Hood Canal,eelgrass,Clam,eelgrass,R,Center,eelgrass,SD23,177,7_12_2017,medium,eelgrass,no,0.284027778,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,10.6,1.76,10.63,3.27,0.21,0,0.02,13.5,2.3,14.75,4.82,0.38,0,0.07,8.6,HStr,AqNo
83,SD23 177 7_12_2017,Dosewallips,Hood Canal,eelgrass,Clam,eelgrass,R,Center,eelgrass,SD23,177,7_12_2017,medium,eelgrass,no,0.284027778,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,10.6,1.76,10.63,3.27,0.21,0,0.02,13.5,2.3,14.75,4.82,0.38,0,0.07,8.6,HStr,AqNo
85,SD23 177 7_12_2017,Dosewallips,Hood Canal,eelgrass,Clam,eelgrass,R,Center,eelgrass,SD23,177,7_12_2017,medium,eelgrass,no,0.284027778,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,10.6,1.76,10.63,3.27,0.21,0,0.02,13.5,2.3,14.75,4.82,0.38,0,0.07,8.6,HStr,AqNo
109,SD23 177 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,Clam,SD24,145,7_12_2017,high,bare,no,0.284027778,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,LStr,AqYes
111,SD23 177 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,Clam,SD24,145,7_12_2017,high,bare,no,0.284027778,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,LStr,AqYes
112,SD23 177 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,Clam,SD24,145,7_12_2017,high,bare,no,0.284027778,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,LStr,AqYes
115,SD23 177 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,Clam,SD24,145,7_12_2017,high,bare,no,0.284027778,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,LStr,AqYes
116,SD23 177 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,Clam,SD24,145,7_12_2017,high,bare,no,0.284027778,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,1,NA,NA,PelFusZP,2017,7,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,LStr,AqYes
118,SD23 177 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,Clam,SD24,145,7_12_2017,high,bare,no,0.284027778,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,LStr,AqYes
120,SD23 177 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,Clam,SD24,145,7_12_2017,high,bare,no,0.284027778,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,LStr,AqYes
122,SD23 177 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,Clam,SD24,145,7_12_2017,high,bare,no,0.284027778,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,LStr,AqYes
125,SD23 177 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,Clam,SD24,145,7_12_2017,high,bare,no,0.284027778,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,LStr,AqYes
127,SD23 177 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,Clam,SD24,145,7_12_2017,high,bare,no,0.284027778,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,LStr,AqYes
128,SD23 177 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,Clam,SD24,145,7_12_2017,high,bare,no,0.284027778,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,LStr,AqYes
130,SD23 177 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,Clam,SD24,145,7_12_2017,high,bare,no,0.284027778,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,LStr,AqYes
132,SD23 177 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,Clam,SD24,145,7_12_2017,high,bare,no,0.284027778,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,LStr,AqYes
134,SD23 177 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,Clam,SD24,145,7_12_2017,high,bare,no,0.284027778,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,LStr,AqYes
136,SD23 177 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,Clam,SD24,145,7_12_2017,high,bare,no,0.284027778,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,LStr,AqYes
138,SD23 177 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,Clam,SD24,145,7_12_2017,high,bare,no,0.284027778,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,LStr,AqYes
140,SD23 177 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,Clam,SD24,145,7_12_2017,high,bare,no,0.284027778,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,LStr,AqYes
142,SD23 177 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,Clam,SD24,145,7_12_2017,high,bare,no,0.284027778,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,LStr,AqYes
144,SD23 177 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,Clam,SD24,145,7_12_2017,high,bare,no,0.284027778,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,LStr,AqYes
146,SD23 177 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,Clam,SD24,145,7_12_2017,high,bare,no,0.284027778,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,LStr,AqYes
148,SD23 177 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,Clam,SD24,145,7_12_2017,high,bare,no,0.284027778,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,LStr,AqYes
150,SD23 177 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,Clam,SD24,145,7_12_2017,high,bare,no,0.284027778,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,LStr,AqYes
152,SD23 177 7_12_2017,Dosewallips,Hood Canal,On,Clam,NA,T,Center,Clam,SD24,145,7_12_2017,high,bare,no,0.284027778,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,4.9,2.76,0,0,0,0,0,0,0,0,0,0,0,0,5.9,LStr,AqYes
196,SD26 284 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,Flipbag,SD26,284,7_24_2017,low,algae,no,0.835416667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,1,NA,NA,PelFusZP,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,HStr,AqYes
198,SD26 284 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,Flipbag,SD26,284,7_24_2017,low,algae,no,0.835416667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,HStr,AqYes
201,SD26 284 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,Flipbag,SD26,284,7_24_2017,low,algae,no,0.835416667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,HStr,AqYes
202,SD26 284 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,Flipbag,SD26,284,7_24_2017,low,algae,no,0.835416667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,HStr,AqYes
221,SD26 284 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,Flipbag,SD26,284,7_24_2017,low,algae,no,0.835416667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,HStr,AqYes
222,SD26 284 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,Flipbag,SD26,284,7_24_2017,low,algae,no,0.835416667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,HStr,AqYes
225,SD26 284 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,Flipbag,SD26,284,7_24_2017,low,algae,no,0.835416667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,HStr,AqYes
226,SD26 284 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,Flipbag,SD26,284,7_24_2017,low,algae,no,0.835416667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,HStr,AqYes
228,SD26 284 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,Flipbag,SD26,284,7_24_2017,low,algae,no,0.835416667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,HStr,AqYes
230,SD26 284 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,Flipbag,SD26,284,7_24_2017,low,algae,no,0.835416667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,1,NA,NA,PelFusZP,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,HStr,AqYes
232,SD26 284 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,Flipbag,SD26,284,7_24_2017,low,algae,no,0.835416667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,1,NA,NA,PelFusZP,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,HStr,AqYes
234,SD26 284 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,Flipbag,SD26,284,7_24_2017,low,algae,no,0.835416667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,HStr,AqYes
236,SD26 284 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,Flipbag,SD26,284,7_24_2017,low,algae,no,0.835416667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,HStr,AqYes
239,SD26 284 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,Flipbag,SD26,284,7_24_2017,low,algae,no,0.835416667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,HStr,AqYes
240,SD26 284 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,Flipbag,SD26,284,7_24_2017,low,algae,no,0.835416667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,0,NA,NA,PelFusZP,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,HStr,AqYes
